alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
0.093	0.027	0.044	0.066	-0.049	-0.011	-0.063	0.019	0.057	-0.087	0.109	0.038	-0.027	-0.098	-0.049	-0.003	-0.123	-0.038	0.208	0.033	-0.011	-0.063	-0.118	-0.109	-0.074	0.016	-0.011	-0.033	-0.008	0.079	0.027	-0.019	-0.118	-0.087	-0.109	-0.068	-0.109	-0.055	0.016	0.041	0.008	-0.019	0.063	0.126	0.027	0.112	0.175	-0.038	0.112	0.172	0.153	0.027	-0.038	-0.055	-0.093	-0.342	0.323	0.489	-0.003	-0.038	-0.016	-0.033	-0.169	-0.118	0.090	0.120	0.139	0.052	-0.038	0.003	-0.019	-0.041	0.066	0.041	-0.027	-0.128	-0.134	0.200	-0.016
0.062	0.002	0.050	0.019	0.033	-0.033	0.033	?	0.076	-0.007	0.055	0.048	0.026	-0.024	-0.048	-0.029	-0.048	-0.017	0.284	0.133	0.019	0.036	-0.014	-0.024	0.010	0.060	0.048	-0.010	0.024	0.110	0.036	0.081	-0.122	-0.112	-0.107	-0.152	-0.260	-0.112	0.024	-0.021	-0.036	0.010	0.029	0.093	0.193	0.150	0.155	-0.021	0.091	0.160	0.055	-0.081	-0.138	-0.055	-0.095	-0.238	0.267	0.441	-0.112	-0.060	0.069	-0.055	-0.081	-0.152	0.138	0.081	0.167	0.081	-0.076	-0.064	-0.060	0.002	-0.007	-0.041	-0.024	-0.102	-0.064	0.248	0.069
-0.037	-0.122	0.030	-0.007	0.017	0.052	0.017	-0.010	0.020	-0.017	0.050	-0.002	-0.050	-0.150	-0.055	-0.075	-0.050	-0.055	0.269	0.095	0.007	?	-0.025	-0.075	-0.025	0.030	0.020	-0.017	-0.017	0.062	0.025	0.045	-0.072	-0.002	0.050	0.080	0.135	0.100	0.095	0.075	0.090	0.007	0.100	0.007	0.035	0.017	0.050	?	0.092	0.200	0.075	-0.112	-0.172	-0.067	-0.117	-0.357	0.250	0.537	-0.072	-0.025	0.082	-0.085	-0.030	-0.117	0.110	0.025	0.080	0.110	-0.015	-0.015	-0.117	0.135	0.030	-0.015	0.027	-0.062	0.025	0.227	0.115
-0.016	-0.051	0.073	0.064	-0.051	0.098	0.031	0.036	0.047	0.016	0.044	-0.016	-0.044	-0.109	-0.031	-0.040	0.067	0.002	0.155	0.100	-0.033	-0.040	-0.095	-0.142	-0.080	-0.067	-0.038	-0.067	-0.022	-0.007	-0.033	-0.080	-0.113	-0.095	-0.080	-0.113	-0.080	-0.093	-0.027	-0.049	-0.071	-0.056	-0.109	?	0.129	0.058	0.118	-0.033	0.155	0.251	0.198	-0.002	-0.071	-0.084	-0.071	-0.346	0.280	0.515	-0.060	-0.002	0.131	-0.109	-0.056	-0.158	0.044	0.047	0.053	0.053	0.007	-0.022	0.047	0.118	0.053	0.064	0.129	0.027	0.047	0.149	-0.002
0.012	0.008	0.043	-0.002	?	?	-0.065	0.047	0.075	-0.002	?	0.014	-0.035	-0.051	0.002	0.012	-0.047	-0.051	0.260	0.043	-0.069	0.008	-0.020	-0.055	-0.035	-0.012	-0.069	-0.073	0.006	-0.037	-0.055	-0.030	-0.085	-0.081	-0.091	0.126	-0.037	-0.041	0.008	-0.030	-0.030	0.014	-0.002	0.047	0.120	0.059	0.081	0.049	0.183	0.240	0.134	-0.012	-0.081	-0.081	-0.118	-0.307	0.349	0.566	-0.061	-0.024	0.085	-0.081	-0.095	-0.099	0.089	0.051	0.112	0.069	0.037	0.069	0.006	0.144	0.079	0.024	0.008	-0.014	-0.041	0.183	0.063
-0.053	0.167	-0.072	-0.024	-0.130	0.010	-0.024	-0.024	0.007	0.039	0.007	-0.048	-0.053	-0.130	-0.077	-0.072	-0.097	-0.048	0.256	0.142	0.058	-0.087	-0.104	-0.029	-0.043	0.056	0.034	-0.007	0.089	0.014	0.046	0.019	-0.123	-0.070	-0.056	-0.017	-0.053	-0.092	-0.056	-0.017	0.014	-0.007	0.060	0.121	0.101	0.007	0.126	0.034	0.164	0.208	0.135	-0.024	-0.130	0.024	-0.104	-0.420	0.181	0.403	-0.056	-0.017	?	-0.043	-0.072	-0.150	0.101	0.024	0.133	0.080	-0.123	0.027	-0.150	0.007	0.036	0.056	0.077	-0.041	-0.017	0.278	0.075
0.011	-0.017	0.045	0.045	0.003	0.065	?	0.079	0.130	-0.076	0.107	?	0.011	-0.040	?	0.040	-0.020	-0.042	0.212	0.045	0.011	-0.003	-0.028	0.008	0.051	0.068	0.034	-0.020	0.040	0.065	-0.008	0.065	-0.096	-0.119	-0.102	-0.011	-0.034	-0.028	0.040	0.059	0.051	0.068	0.082	0.031	0.223	0.136	0.201	0.031	0.107	0.119	0.017	-0.085	-0.096	0.028	-0.082	-0.316	0.271	0.540	0.079	-0.040	0.051	-0.065	-0.138	-0.082	0.158	0.017	0.172	0.040	-0.008	0.003	-0.008	-0.042	0.034	0.107	0.096	0.023	-0.062	0.254	-0.096
-0.022	-0.048	-0.041	-0.041	-0.086	-0.029	?	-0.101	-0.029	-0.086	-0.069	-0.086	-0.029	0.108	-0.101	-0.108	-0.096	-0.101	0.098	0.115	-0.072	-0.043	-0.069	-0.060	-0.022	0.050	0.074	-0.153	0.069	0.110	0.132	0.091	-0.069	-0.034	-0.041	-0.053	-0.048	-0.048	0.019	0.038	0.017	0.010	0.010	0.038	0.168	0.093	0.182	-0.002	0.115	0.194	0.055	-0.053	-0.103	-0.055	-0.091	-0.326	0.230	0.386	-0.129	-0.091	-0.081	-0.153	-0.153	-0.194	0.137	0.117	0.156	0.074	-0.149	-0.029	-0.194	-0.134	0.026	-0.022	-0.007	0.050	-0.034	0.216	-0.072
-0.002	-0.009	-0.022	0.052	-0.083	0.031	-0.015	-0.007	0.039	0.044	0.050	-0.015	-0.013	-0.070	-0.037	-0.020	-0.050	-0.013	0.163	0.094	0.041	-0.070	-0.078	-0.054	-0.074	0.017	-0.015	0.026	0.026	0.057	0.022	0.050	0.017	0.024	-0.031	-0.054	-0.074	-0.037	0.013	0.041	0.022	0.057	0.061	0.190	0.126	0.089	0.139	0.024	0.218	0.240	0.214	0.022	-0.039	-0.059	-0.094	-0.368	0.242	0.440	-0.083	-0.131	-0.065	-0.187	-0.172	-0.155	0.074	0.124	0.089	0.022	-0.172	-0.070	-0.187	-0.098	0.015	-0.013	0.100	0.044	-0.002	0.124	-0.033
0.045	0.041	0.056	0.043	0.002	-0.032	0.081	0.051	0.062	-0.030	0.056	-0.026	-0.002	-0.030	0.024	-0.058	0.071	-0.077	0.229	0.077	-0.039	-0.092	-0.047	-0.068	-0.019	-0.021	-0.039	-0.109	0.006	-0.026	-0.047	-0.062	-0.047	-0.049	-0.032	-0.058	-0.039	-0.058	0.026	0.026	0.009	0.034	-0.019	0.064	0.205	0.143	0.205	-0.068	0.124	0.156	0.124	-0.009	-0.124	-0.137	-0.058	-0.283	0.278	0.445	-0.054	-0.073	-0.062	-0.214	-0.152	-0.233	0.066	0.248	0.109	0.013	-0.101	-0.054	-0.152	-0.086	0.024	-0.062	0.062	-0.058	-0.032	0.105	-0.032
-0.002	-0.048	0.017	-0.041	-0.022	-0.053	0.051	-0.014	0.007	-0.024	-0.036	-0.087	-0.024	-0.166	-0.010	-0.140	0.058	0.103	0.154	0.024	-0.082	-0.053	-0.048	-0.022	-0.029	0.120	0.106	0.043	-0.022	0.075	0.048	0.082	-0.113	-0.123	-0.060	-0.043	-0.007	-0.017	0.029	0.024	0.034	0.043	0.082	-0.108	0.202	0.152	0.214	-0.082	0.118	0.132	0.147	-0.070	-0.123	-0.043	-0.091	-0.354	0.152	0.457	-0.087	-0.053	-0.043	-0.171	-0.108	-0.103	0.154	0.058	0.116	0.101	-0.101	0.017	-0.113	-0.007	0.002	-0.010	-0.034	-0.123	-0.048	-0.010	-0.262
0.014	0.002	-0.009	-0.051	-0.028	-0.093	-0.002	-0.098	-0.058	-0.042	-0.033	-0.070	-0.023	-0.156	-0.070	-0.130	-0.035	-0.093	0.158	-0.028	-0.098	-0.214	-0.130	-0.126	-0.144	0.007	0.002	-0.028	0.007	0.095	0.058	0.065	-0.149	-0.177	-0.144	-0.088	-0.100	-0.130	-0.016	0.026	-0.007	-0.002	0.035	-0.184	0.123	0.112	0.144	-0.053	0.170	0.212	0.207	-0.047	-0.135	0.023	-0.084	-0.316	0.163	0.374	-0.047	-0.021	0.033	-0.109	-0.070	-0.135	0.091	0.077	0.074	-0.014	-0.074	-0.007	-0.135	-0.119	0.014	0.002	0.014	-0.074	-0.051	0.077	-0.200
-0.042	0.062	-0.030	0.030	-0.045	-0.050	0.020	-0.042	0.015	0.060	-0.010	0.010	-0.022	-0.166	-0.062	-0.139	-0.062	-0.045	0.161	0.129	-0.015	-0.057	-0.055	-0.030	0.017	0.127	0.099	0.122	0.092	0.134	0.142	0.124	-0.233	0.030	0.114	-0.079	-0.075	-0.002	-0.042	?	0.060	-0.037	-0.084	-0.099	-0.079	-0.045	-0.050	-0.050	0.174	0.189	0.082	-0.067	-0.154	0.010	-0.144	-0.256	0.306	0.459	-0.057	-0.050	0.007	-0.055	-0.134	-0.117	0.050	0.112	0.099	0.082	-0.149	-0.007	-0.149	-0.030	0.030	-0.030	0.040	0.020	-0.045	0.127	-0.154
-0.026	-0.069	0.002	-0.032	-0.002	-0.082	0.045	-0.049	?	-0.054	-0.006	-0.069	-0.026	-0.144	-0.021	-0.064	0.002	-0.062	0.092	0.064	-0.037	0.026	-0.006	-0.019	0.015	0.039	0.045	0.026	-0.026	0.084	0.080	0.030	-0.148	-0.120	-0.077	-0.062	-0.015	-0.002	0.021	-0.002	-0.030	-0.009	0.052	-0.092	0.129	0.041	0.125	-0.077	0.232	0.260	0.191	-0.021	-0.110	0.006	-0.133	-0.417	0.314	0.524	-0.015	0.030	0.114	0.021	-0.015	0.049	0.056	?	0.049	0.030	0.021	-0.043	0.024	-0.163	0.032	0.041	0.030	-0.032	-0.019	0.097	-0.092
-0.056	-0.124	-0.043	-0.059	-0.074	-0.028	0.002	-0.041	-0.050	-0.115	-0.050	-0.091	-0.107	-0.196	-0.056	-0.119	-0.063	-0.078	0.119	0.100	-0.070	-0.087	-0.074	-0.091	-0.132	-0.017	-0.028	-0.067	-0.002	-0.017	-0.011	-0.074	-0.100	-0.091	-0.100	-0.080	-0.063	-0.083	-0.404	-0.043	-0.050	-0.050	0.028	0.043	0.085	0.046	0.089	-0.063	0.170	0.220	0.146	-0.063	-0.137	-0.063	-0.100	-0.445	0.180	0.363	-0.078	-0.011	0.030	-0.080	-0.031	-0.033	0.083	0.006	0.022	0.006	-0.022	0.019	-0.006	0.057	0.028	0.030	0.074	-0.022	-0.011	0.106	-0.050
-0.021	-0.070	-0.075	-0.093	-0.084	-0.126	0.016	0.105	-0.021	0.068	-0.070	0.009	-0.051	-0.089	-0.089	-0.021	-0.084	0.014	0.016	0.026	-0.343	-0.002	-0.093	-0.110	-0.126	0.086	0.068	0.044	-0.047	0.061	0.131	0.075	-0.023	-0.051	?	0.026	-0.068	-0.040	0.026	0.033	0.023	?	0.089	0.315	0.163	0.126	0.191	0.117	0.152	0.142	0.105	-0.007	-0.135	0.037	-0.002	-0.254	0.191	0.411	-0.070	-0.028	0.016	-0.084	-0.093	-0.140	0.117	0.105	0.124	0.033	-0.063	0.035	-0.161	0.028	-0.002	0.009	0.098	0.037	-0.100	0.145	-0.023
-0.102	-0.096	-0.075	-0.120	-0.051	-0.102	0.060	-0.075	-0.030	0.063	-0.090	-0.069	-0.108	-0.147	-0.069	-0.054	0.018	-0.090	0.126	0.018	?	-0.120	-0.045	-0.036	-0.036	0.144	0.132	0.087	0.033	0.096	0.126	0.120	-0.129	-0.114	-0.087	-0.054	-0.012	-0.114	-0.042	-0.054	-0.009	-0.021	0.036	-0.223	0.120	0.087	0.129	-0.087	0.135	0.132	0.102	-0.153	-0.238	-0.003	0.057	-0.259	0.304	0.460	-0.081	-0.018	0.003	-0.036	-0.018	-0.114	0.060	-0.045	0.072	-0.009	-0.108	-0.003	0.048	-0.012	0.003	-0.081	?	-0.051	-0.060	0.093	-0.153
0.007	-0.067	-0.016	-0.051	-0.041	-0.113	-0.002	-0.099	-0.016	-0.051	-0.014	-0.034	-0.032	-0.133	-0.103	-0.074	-0.083	-0.083	0.136	0.014	-0.067	-0.163	-0.117	-0.129	-0.124	0.048	0.041	0.053	0.014	0.048	0.149	0.085	-0.113	-0.092	-0.103	-0.108	-0.062	-0.087	0.002	-0.034	-0.032	0.034	0.044	-0.074	0.170	0.129	0.159	-0.014	0.094	0.122	0.053	-0.163	-0.182	-0.062	-0.147	-0.412	0.205	0.350	-0.034	-0.007	0.048	-0.021	-0.074	-0.067	0.078	0.069	0.085	0.067	-0.016	0.037	0.297	0.212	-0.034	0.117	0.018	-0.007	-0.087	0.076	?
0.019	-0.077	0.106	0.019	0.074	-0.114	0.021	0.043	0.053	-0.008	0.082	-0.016	-0.024	-0.165	0.032	-0.061	0.016	0.008	0.048	-0.027	-0.154	-0.160	-0.112	-0.229	-0.154	-0.040	-0.053	-0.061	-0.189	-0.024	-0.027	-0.096	-0.077	-0.067	-0.059	-0.085	-0.061	-0.072	0.029	0.011	?	-0.016	0.029	0.104	0.149	0.069	0.101	-0.045	0.226	0.189	0.146	-0.067	-0.130	0.011	-0.144	-0.333	0.250	0.354	-0.037	-0.008	0.011	-0.112	-0.101	-0.053	0.122	0.067	0.098	0.117	0.019	-0.027	0.160	0.162	0.019	0.085	0.101	-0.040	-0.011	0.218	-0.048
0.107	0.133	0.138	0.136	0.046	0.061	-0.034	0.087	0.070	-0.034	0.082	0.034	0.019	-0.061	-0.044	0.027	-0.007	0.024	0.221	0.128	0.017	-0.048	-0.070	-0.070	-0.029	0.024	-0.017	-0.048	0.029	0.029	0.036	0.061	-0.109	-0.104	-0.109	-0.036	-0.022	0.017	0.078	0.058	0.015	0.095	0.128	0.107	0.204	0.138	0.206	-0.022	0.160	?	0.080	-0.022	-0.073	-0.015	-0.136	-0.303	0.310	0.436	0.061	0.087	0.138	0.080	0.002	0.046	0.056	0.073	0.170	0.119	-0.024	-0.002	0.017	0.141	0.104	0.082	0.027	-0.044	-0.065	0.228	0.027
0.036	-0.034	?	0.008	-0.011	-0.061	0.023	-0.013	0.023	-0.032	0.002	-0.023	-0.017	-0.110	-0.038	-0.017	-0.023	-0.034	0.230	0.036	-0.048	-0.038	-0.114	-0.103	-0.061	-0.080	-0.048	-0.042	-0.011	0.027	-0.011	-0.051	-0.097	0.044	-0.107	-0.017	-0.141	-0.044	-0.072	0.105	-0.245	-0.287	-0.065	0.049	-0.232	-0.029	-0.127	0.029	0.137	0.249	0.135	0.023	-0.019	-0.080	-0.044	-0.245	0.200	0.365	-0.131	-0.055	-0.029	-0.207	-0.150	-0.224	0.044	0.122	0.070	0.061	-0.122	-0.061	-0.103	0.046	0.053	0.059	0.093	0.044	-0.065	0.171	0.091
-0.016	-0.088	-0.016	?	-0.006	0.033	-0.022	-0.039	0.005	-0.023	0.030	-0.042	-0.042	-0.111	-0.042	-0.080	-0.016	-0.067	0.158	-0.039	-0.080	-0.067	-0.124	-0.119	-0.091	-0.080	-0.080	-0.116	-0.080	-0.050	-0.050	-0.091	0.031	0.053	0.049	0.005	0.009	-0.014	?	-0.042	-0.066	-0.022	-0.009	-0.085	-0.050	-0.094	-0.105	-0.014	0.225	0.301	0.293	0.189	0.125	-0.050	-0.028	-0.157	0.235	0.398	-0.111	-0.116	-0.050	-0.191	-0.100	-0.224	0.072	0.142	0.023	0.002	-0.077	-0.147	-0.074	-0.132	0.041	0.002	0.063	-0.023	0.023	0.221	0.135
-0.062	-0.084	-0.028	?	-0.082	-0.101	-0.011	0.090	-0.020	0.082	-0.084	0.065	-0.056	-0.020	-0.039	0.135	0.003	0.189	0.163	-0.082	-0.084	-0.158	-0.163	-0.056	-0.051	-0.039	0.042	0.017	-0.020	0.059	0.070	0.011	-0.051	-0.039	0.008	0.003	0.023	?	0.017	0.039	-0.076	0.008	0.084	-0.008	0.155	0.129	0.175	-0.039	0.084	0.189	0.090	-0.065	-0.180	-0.056	-0.121	-0.414	0.194	0.388	-0.011	0.110	0.042	-0.090	-0.039	-0.076	-0.048	-0.017	0.034	0.087	-0.101	0.068	-0.082	-0.008	-0.042	-0.042	-0.138	-0.189	-0.118	0.068	-0.281
-0.102	-0.033	-0.033	-0.090	-0.137	-0.017	-0.059	-0.043	0.050	0.038	-0.014	-0.054	-0.064	-0.132	-0.071	0.019	-0.099	-0.040	0.009	0.073	-0.033	-0.040	-0.059	-0.017	-0.033	0.038	0.007	0.038	0.076	0.073	0.017	0.050	-0.069	0.066	0.028	-0.090	-0.054	0.071	0.057	0.128	0.137	0.059	0.073	0.286	0.246	0.123	0.222	0.007	-0.095	-0.151	-0.222	-0.251	-0.388	0.116	-0.128	-0.322	-0.137	-0.014	-0.069	-0.035	-0.002	-0.047	-0.069	-0.033	0.069	0.151	0.087	0.057	-0.142	0.080	-0.099	-0.085	0.009	-0.028	0.090	0.033	0.035	0.213	-0.009
-0.096	-0.082	-0.023	-0.099	-0.049	-0.062	-0.029	-0.082	-0.066	-0.082	-0.062	-0.125	-0.058	-0.138	-0.023	-0.096	-0.033	-0.088	0.131	0.021	0.027	0.016	-0.012	0.027	0.029	0.057	0.060	0.039	-0.043	0.076	0.035	-0.002	0.039	-0.008	0.021	-0.082	-0.105	-0.082	0.103	0.121	-0.078	-0.287	-0.082	0.191	-0.183	0.041	-0.074	-0.066	0.019	-0.018	-0.027	-0.088	-0.138	0.060	-0.006	-0.138	-0.273	-0.304	0.008	0.057	-0.053	-0.092	-0.053	-0.027	-0.070	-0.084	-0.117	-0.033	-0.018	-0.008	-0.062	-0.105	-0.045	-0.045	-0.018	0.016	0.125	0.351	0.448
-0.032	?	0.023	0.015	-0.036	-0.025	-0.095	0.013	0.030	-0.049	0.076	0.008	-0.047	-0.038	-0.006	0.051	-0.068	-0.008	0.142	-0.013	-0.013	-0.042	-0.072	-0.080	-0.076	0.013	-0.013	-0.085	-0.072	-0.047	-0.089	-0.019	-0.053	-0.038	0.053	0.083	-0.032	-0.061	-0.127	0.326	0.463	-0.205	-0.089	0.053	-0.224	-0.061	-0.188	-0.032	-0.178	?	-0.250	-0.303	-0.265	-0.006	-0.135	-0.002	-0.119	-0.167	0.008	0.144	0.015	0.032	0.055	0.053	-0.038	0.078	-0.025	-0.032	-0.061	0.006	0.032	0.006	-0.057	0.049	-0.072	-0.038	-0.146	-0.038	0.110
0.014	0.028	0.089	0.046	-0.018	0.012	-0.107	-0.011	-0.025	-0.114	0.018	-0.016	-0.018	-0.053	-0.032	0.007	-0.039	-0.039	0.162	0.027	0.110	0.119	0.055	0.057	0.050	0.007	-0.002	0.034	0.053	0.014	-0.012	0.005	-0.178	-0.235	-0.114	0.078	0.098	0.123	0.109	0.103	0.053	0.037	0.089	0.171	0.089	0.044	0.096	-0.032	0.028	-0.084	-0.158	-0.229	-0.229	0.091	-0.100	-0.210	-0.153	-0.173	-0.002	0.089	-0.032	-0.060	-0.103	0.043	-0.044	-0.141	-0.071	-0.126	-0.007	0.069	-0.126	0.002	0.021	0.052	0.091	0.110	0.167	0.361	0.388
